Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
22,Delanie Walker*,TEN,33,TE,16,11,111,74,66.70%,807,10.9,3,42,4.6,50.4,2
23,Mike Evans,TAM,24,WR,15,15,136,71,52.20%,1001,14.1,5,42,4.7,66.7,1
24,Dez Bryant,DAL,29,WR,16,16,132,69,52.30%,838,12.1,6,50,4.3,52.4,1
25,Rob Gronkowski*+,NWE,28,TE,14,14,105,69,65.70%,1084,15.7,8,53,4.9,77.4,1
26,Mohamed Sanu,ATL,28,WR,15,15,96,67,69.80%,703,10.5,5,25,4.5,46.9,0
27,Randall Cobb,GNB,27,WR,15,14,92,66,71.70%,653,9.9,4,46,4.4,43.5,1
28,Jamison Crowder,WAS,24,wr,15,6,103,66,64.10%,789,12,3,41,4.4,52.6,6
29,Brandin Cooks,NWE,24,WR,16,15,114,65,57.00%,1082,16.6,7,64,4.1,67.6,0
30,Jermaine Kearse,NYJ,27,WR,16,14,102,65,63.70%,810,12.5,5,51,4.1,50.6,1
31,Stefon Diggs,MIN,24,WR,14,14,95,64,67.40%,849,13.3,8,59,4.6,60.6,0
32,Evan Engram,NYG,23,TE,15,11,115,64,55.70%,722,11.3,6,35,4.3,48.1,0
33,Todd Gurley*+,LAR,23,RB,15,15,87,64,73.60%,788,12.3,6,80,4.3,52.5,5
34,Robby Anderson,NYJ,24,WR,16,15,114,63,55.30%,941,14.9,7,69,3.9,58.8,0
35,Devin Funchess,CAR,23,WR,16,16,111,63,56.80%,840,13.3,8,44,3.9,52.5,0
36,Jason Witten*,DAL,35,TE,16,16,87,63,72.40%,560,8.9,5,28,3.9,35,1
37,Nelson Agholor,PHI,24,WR,16,10,95,62,65.30%,768,12.4,8,72,3.9,48,0
38,Cooper Kupp,LAR,24,wr,15,6,94,62,66.00%,869,14,5,64,4.1,57.9,1
39,Danny Amendola,NWE,32,WR,15,8,86,61,70.90%,659,10.8,2,27,4.1,43.9,2
40,Adam Humphries,TAM,24,wr,16,3,83,61,73.50%,631,10.3,1,43,3.8,39.4,1
41,Marvin Jones,DET,27,WR,16,16,107,61,57.00%,1101,18,9,58,3.8,68.8,0
42,Ben Watson,BAL,37,TE,16,12,79,61,77.20%,522,8.6,4,33,3.8,32.6,1
43,Carlos Hyde,SFO,26,RB,16,16,88,59,67.00%,350,5.9,0,18,3.7,21.9,2
44,LeSean McCoy*,BUF,29,RB,16,16,77,59,76.60%,448,7.6,2,39,3.7,28,3
45,Sterling Shepard,NYG,24,WR,11,10,84,59,70.20%,731,12.4,2,77,5.4,66.5,1
46,Kendall Wright,CHI,28,wr,16,4,91,59,64.80%,614,10.4,1,22,3.7,38.4,0
47,Michael Crabtree,OAK,30,WR,14,14,101,58,57.40%,618,10.7,8,41,4.1,44.1,1
48,Melvin Gordon,LAC,24,RB,16,16,83,58,69.90%,476,8.2,4,49,3.6,29.8,1
49,Mark Ingram*,NOR,28,RB,16,13,71,58,81.70%,416,7.2,0,54,3.6,26,3
50,JuJu Smith-Schuster,PIT,21,wr,14,7,79,58,73.40%,917,15.8,7,97,4.1,65.5,0
51,Kenny Stills,MIA,25,WR,16,16,105,58,55.20%,847,14.6,6,61,3.6,52.9,4
52,Jimmy Graham*,SEA,31,TE,16,13,96,57,59.40%,520,9.1,10,33,3.6,32.5,0
53,T.Y. Hilton*,IND,28,WR,16,16,109,57,52.30%,966,16.9,4,80,3.6,60.4,2
54,Alshon Jeffery,PHI,27,WR,16,16,120,57,47.50%,789,13.8,9,53,3.6,49.3,0
